Serial Number,Station Name,Station Id,Network,Elevation(meter),Latitude,Longitude,Wind Speed(m/s),Air Temperature(C),Start Date,Precipitation for 1 day,Precipitation for 2 days,Precipitation for 3 days,Precipitation for 4 days,Precipitation for 5 days,sm_2,sm_4,sm_8,sm_20,sm_40,st_2,st_4,st_8,st_20,st_40
74,Lightning Ridge,1056,SNTL,2503.9320000000002,41.35891,-111.48749,-999999,0.6111111111111119,2017-09-20 00:00:00,33.019999999999925,40.63999999999985,40.63999999999985,40.63999999999985,76.19999999999999,0.295,0.26899999999999996,0.16399999999999998,0.033,0.018000000000000002,5.56,6.67,8.33,10.0,10.56
75,Lily Lake,579,SNTL,2783.7384,40.86493,-110.79813,-999999,-0.3888888888888885,2017-09-20 00:00:00,15.240000000000036,15.240000000000036,15.240000000000036,17.77999999999998,33.02000000000002,0.14800000000000002,-999999,0.182,0.084,-999999,5.0,-999999,7.22,10.0,-999999
76,Little Bear,582,SNTL,1995.8304,41.40562,-111.82607,-999999,3.7777777777777763,2017-09-20 00:00:00,15.240000000000036,30.47999999999989,30.47999999999989,30.47999999999989,48.25999999999996,0.33799999999999997,-999999,0.193,0.282,-999999,6.67,-999999,11.11,12.78,-999999
77,Little Grassy,583,SNTL,1848.612,37.48631,-113.84582,-999999,15.88888888888889,2017-09-20 00:00:00,0.0,0.0,0.0,0.0,2.540000000000036,0.126,-999999,0.198,0.16399999999999998,-999999,16.67,-999999,17.78,17.22,-999999
78,Lonesome Beaver,1261,SNTL,2868.168,38.07,-110.77241,-999999,9.000000000000002,2017-09-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0.233,-999999,0.11,0.078,-999999,9.44,-999999,11.11,10.56,-999999
79,Long Flat,592,SNTL,2432.9136000000003,37.51255,-113.39661,-999999,11.722222222222221,2017-09-20 00:00:00,0.0,0.0,0.0,0.0,2.540000000000036,0.085,-999999,0.067,0.094,-999999,12.22,-999999,16.11,14.44,-999999
80,Long Valley Jct,593,SNTL,2275.3320000000003,37.48756,-112.51458,-999999,7.777777777777778,2017-09-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0.124,-999999,0.151,0.11,-999999,13.89,-999999,15.56,16.67,-999999
81,Lookout Peak,596,SNTL,2487.4728,40.83731,-111.70965,-999999,1.1111111111111112,2017-09-20 00:00:00,7.619999999999927,7.619999999999927,7.619999999999927,7.619999999999927,43.179999999999886,0.156,-999999,0.044000000000000004,0.023,-999999,5.56,-999999,7.22,8.33,-999999
82,Lost Creek Resv,1118,SNTL,1853.7936000000002,41.22155,-111.35947,-999999,0.2777777777777778,2017-09-20 00:00:00,7.620000000000018,10.160000000000053,10.160000000000053,10.160000000000053,17.77999999999998,0.084,-999999,0.213,0.16,-999999,10.56,-999999,11.11,11.67,-999999
83,Louis Meadow,972,SNTL,2042.16,40.83033,-111.76457,1.162304,1.7777777777777795,2017-09-20 00:00:00,2.540000000000036,2.540000000000036,2.540000000000036,5.080000000000072,40.640000000000036,0.09300000000000001,-999999,0.057999999999999996,0.054000000000000006,-999999,10.56,-999999,11.67,11.11,-999999
84,Mammoth-Cottonwood,612,SNTL,2654.5032,39.68338,-111.31818,-999999,1.1111111111111112,2017-09-20 00:00:00,0.0,2.540000000000036,5.079999999999892,7.619999999999927,35.55999999999996,0.3,-999999,0.32299999999999995,0.23800000000000002,-999999,4.44,-999999,9.44,11.11,-999999
85,Merchant Valley,621,SNTL,2653.284,38.30285,-112.43637,-999999,8.38888888888889,2017-09-20 00:00:00,0.0,0.0,0.0,0.0,12.7,0.35600000000000004,-999999,0.063,0.001,-999999,6.67,-999999,7.22,8.33,-999999
86,Midway Valley,626,SNTL,2995.2696,37.56933,-112.83849,-999999,5.222222222222221,2017-09-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0.24600000000000002,-999999,0.22,0.305,-999999,7.22,-999999,10.0,9.44,-999999
87,Mill-D North,628,SNTL,2731.9224,40.65883,-111.63683,-999999,1.5000000000000016,2017-09-20 00:00:00,15.240000000000036,15.240000000000036,15.240000000000036,15.240000000000036,43.18000000000007,0.193,-999999,0.022000000000000002,0.04,-999999,3.33,-999999,8.33,9.44,-999999
88,Mining Fork,631,SNTL,2528.3160000000003,40.49384,-112.61141,-999999,1.7777777777777795,2017-09-20 00:00:00,0.0,0.0,0.0,2.5399999999998553,7.619999999999927,0.073,-999999,0.11,0.048,-999999,5.56,-999999,8.33,8.89,-999999
89,Monte Cristo,634,SNTL,2722.4736000000003,41.46547,-111.49688,-999999,-1.6111111111111103,2017-09-20 00:00:00,25.4,38.099999999999994,38.099999999999994,38.099999999999994,48.25999999999996,0.298,-999999,0.324,0.035,-999999,2.78,-999999,5.56,6.67,-999999
90,Mosby Mtn.,643,SNTL,2911.7544000000003,40.60798,-109.8881,-999999,1.5000000000000016,2017-09-20 00:00:00,0.0,0.0,0.0,2.540000000000036,17.780000000000072,0.11699999999999999,-999999,0.083,0.122,-999999,6.67,-999999,7.78,8.33,-999999
91,Mt Baldy,1224,SNTL,2902.9152000000004,39.13648,-111.50527,-999999,2.3888888888888875,2017-09-20 00:00:00,0.0,0.0,2.540000000000036,2.540000000000036,22.859999999999964,0.253,-999999,0.23800000000000002,0.222,-999999,8.33,-999999,8.89,9.44,-999999
92,Mt Pennell,1269,SNTL,2806.9032,37.97793,-110.7933,-999999,8.88888888888889,2017-09-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0.084,-999999,0.122,0.059000000000000004,-999999,7.78,-999999,9.44,10.0,-999999
