"","snow.LONGITUDE","snow.LATITUDE","snow.ELEVATION","snow.YRS","snow.HUC","snow.TD","snow.FFP","snow.MCMT","snow.MWMT","snow.PPTWT","snow.RH","snow.MAT","model$prediction"
"123",-113.716,37.57,1622,35,16030006,24.1000003814697,130,-1.79999995231628,22.2999992370605,100,46,9.69999980926514,1.47084375
"124",-111.586,39.358,1679,12,16030004,26.2000007629395,127,-4.40000009536743,21.8999996185303,75,48,8.60000038146973,1.50295652173913
"125",-111.598,37.768,1771,38,14070005,25.3999996185303,137,-3.09999990463257,22.2999992370605,53,48,9.39999961853027,1.47084375
"126",-113.953,39.109,1518,31,16020301,26.6000003814697,139,-2.5,24.1000003814697,19,45,10.1999998092651,1.32391304347826
"127",-112.117,39.95,1972,13,16030005,24.5,134,-3.90000009536743,20.6000003814697,115,57,7.5,5.1168
"128",-110.95,41.267,2079,30,16010101,24.5,67,-7.30000019073486,17.2999992370605,52,46,4.40000009536743,2.54358333333333
"129",-112.087,40.267,1487,41,16020201,26.2999992370605,145,-3.40000009536743,22.8999996185303,72,52,9.39999961853027,1.47084375
"130",-111.416,39.748,2057,36,16030004,25,94,-6.40000009536743,18.6000003814697,115,47,5.69999980926514,5.138125
"131",-111.433,39.617,1817,12,16030004,26,105,-5.90000009536743,20.1000003814697,101,45,7,3.462375
"132",-111.925,41.018,1335,39,16020102,27.2000007629395,173,-2.5,24.7000007629395,141,58,10.6000003814697,1.14695833333333
"133",-108.313,36.695,1714,29,14080105,26.2000007629395,158,-2.29999995231628,23.7999992370605,38,49,10.6999998092651,0.782
"134",-111.81,40.97,2066,14,16020102,22.3999996185303,104,-6.09999990463257,16.2999992370605,412,61,4.09999990463257,9.64516666666667
"135",-111.82,40.99,2438,39,16020102,23.5,124,-5,18.5,331,60,5.90000009536743,8.85911428571429
"136",-111.68,38.77,2951,37,16030003,21.7000007629395,61,-7.40000009536743,14.3000001907349,259,56,2.29999995231628,9.15793333333333
"137",-111.132,39.087,1807,42,14060009,27.2999992370605,134,-5.19999980926514,22,41,48,8.5,1.50295652173913
"138",-112.328,38.966,1561,48,16030005,26.7000007629395,146,-2.79999995231628,23.8999996185303,98,48,10.1000003814697,1.32391304347826
"139",-113.398,39.84,1323,30,16020306,28.2000007629395,156,-2.79999995231628,25.5,31,50,10.8000001907349,1.14695833333333
"140",-110.47,40.72,3335,37,14060003,20.7999992370605,30,-10.5,10.3000001907349,216,47,-1.29999995231628,8.27194117647059
"141",-109.412,40.932,1911,46,14040106,26.2999992370605,120,-5.59999990463257,20.7000007629395,34,50,7,2.09270833333333
"142",-110.067,41.983,1975,22,14040103,27.7999992370605,65,-10,17.7999992370605,16,42,3.70000004768372,2.54358333333333
"143",-109.861,40.284,1539,23,14060003,32.5,132,-9.60000038146973,22.8999996185303,28,45,7.69999980926514,2.14530555555556
"144",-110.77,41.837,2067,27,16010101,26,61,-8.60000038146973,17.3999996185303,55,44,3.79999995231628,2.54358333333333
"145",-111.6,42.05,2490,39,16010202,23.2999992370605,73,-7.80000019073486,15.5,388,55,2.90000009536743,8.85911428571429
"146",-112.335,38.578,1804,27,16030003,24.7999992370605,121,-3,21.8999996185303,66,45,8.69999980926514,1.47084375
"147",-108.733,39.165,1373,19,14010005,29.5,164,-4.30000019073486,25.2000007629395,46,49,10.8999996185303,1.50295652173913
"148",-108.358,36.733,1570,29,14080105,26.3999996185303,158,-2,24.3999996185303,45,46,11.1999998092651,0.782
"149",-113.46,37.4,2537,13,15010008,21,105,-3.90000009536743,17.1000003814697,156,57,5.5,5.1168
