"","sm_8","elev","wind","p1day","p2day","p3day","p4day","p5day","slope","aspect","long","lat","prediction","resid","cv_predictions","cv_resid"
"81",0.044,2487.4728,-999999,7.61999999999993,7.61999999999993,7.61999999999993,7.61999999999993,43.1799999999999,12.2648649664965,86.2438186878203,-111.70965,40.83731,0.0884374570446736,-0.0444374570446736,0.0910885333333332,-0.0470885333333332
"82",0.213,1853.7936,-999999,7.62000000000002,10.1600000000001,10.1600000000001,10.1600000000001,17.78,4.58912835824072,119.093915697076,-111.35947,41.22155,0.120690957446809,0.0923090425531915,0.132725866666667,0.0802741333333334
"83",0.058,2042.16,1.162304,2.54000000000004,2.54000000000004,2.54000000000004,5.08000000000007,40.64,5.24277647091345,194.233985351728,-111.76457,40.83033,0.144794660194175,-0.0867946601941748,0.148560533333333,-0.0905605333333333
"84",0.323,2654.5032,-999999,0,2.54000000000004,5.07999999999989,7.61999999999993,35.56,5.0587264094256,271.67886676203,-111.31818,39.68338,0.180416166056166,0.142583833943834,0.175960090476191,0.147039909523809
"85",0.063,2653.284,-999999,0,0,0,0,12.7,13.0164426939311,143.743368705244,-112.43637,38.30285,0.159904412257075,-0.096904412257075,0.158455049710875,-0.0954550497108752
"86",0.22,2995.2696,-999999,0,0,0,0,0,14.1703998352498,9.34769748979031,-112.83849,37.56933,0.144141954782078,0.0758580452179216,0.141457876237353,0.0785421237626468
"87",0.022,2731.9224,-999999,15.24,15.24,15.24,15.24,43.1800000000001,8.38119774734146,201.174013084523,-111.63683,40.65883,0.133627167630058,-0.111627167630058,0.129683633333333,-0.107683633333333
"88",0.11,2528.316,-999999,0,0,0,2.53999999999986,7.61999999999993,22.9059013754336,10.544418296131,-112.61141,40.49384,0.166744175609965,-0.0567441756099651,0.153836226623377,-0.0438362266233766
"89",0.324,2722.4736,-999999,25.4,38.1,38.1,38.1,48.26,6.48785682081279,53.2650674418595,-111.49688,41.46547,0.166928596491228,0.157071403508772,0.193447533333333,0.130552466666667
"90",0.083,2911.7544,-999999,0,0,0,2.54000000000004,17.7800000000001,5.07972193916552,54.7756529636995,-109.8881,40.60798,0.219816889483066,-0.136816889483066,0.215459324098124,-0.132459324098124
"91",0.238,2902.9152,-999999,0,0,2.54000000000004,2.54000000000004,22.86,10.5416966057642,15.5072434983871,-111.50527,39.13648,0.196146254826255,0.0418537451737452,0.177331098165869,0.0606689018341308
"92",0.122,2806.9032,-999999,0,0,0,0,0,20.9022118464879,27.2595119457326,-110.7933,37.97793,0.162097290527768,-0.0400972905277679,0.166947170776255,-0.044947170776255
